node_name/poi_id,checkin_cnt,poi_catid,poi_catid_code,poi_catname,latitude,longitude
4b058799f964a5208b9b22e3,10,230,4bf58dd8d48988d1fa931735,Hotel,35.69071166859883,139.69111919403076
4b058799f964a5208d9b22e3,18,230,4bf58dd8d48988d1fa931735,Hotel,35.67227129373131,139.75871086120603
4b058799f964a520929b22e3,6,230,4bf58dd8d48988d1fa931735,Hotel,35.68704310565643,139.6988707780838
4b058799f964a520959b22e3,22,230,4bf58dd8d48988d1fa931735,Hotel,35.670580269104704,139.72784934488865
4b058799f964a520979b22e3,21,230,4bf58dd8d48988d1fa931735,Hotel,35.690062,139.694569
4b058799f964a5209d9b22e3,14,230,4bf58dd8d48988d1fa931735,Hotel,35.6926940165951,139.69108700752258
4b058799f964a5209e9b22e3,23,230,4bf58dd8d48988d1fa931735,Hotel,35.668126851805255,139.74106192588806
4b058799f964a520a09b22e3,14,230,4bf58dd8d48988d1fa931735,Hotel,35.68039394998196,139.73459243774414
4b05879af964a520ac9b22e3,19,230,4bf58dd8d48988d1fa931735,Hotel,35.68607583173909,139.76199388504028
4b05879af964a520b69b22e3,8,230,4bf58dd8d48988d1fa931735,Hotel,35.68557476181027,139.6906390786171
4b05879af964a520c19b22e3,10,230,4bf58dd8d48988d1fa931735,Hotel,35.65301696037888,139.76220790066373
4b05879af964a520ca9b22e3,9,230,4bf58dd8d48988d1fa931735,Hotel,35.68235476778513,139.7867774963379
4b05879af964a520ce9b22e3,7,230,4bf58dd8d48988d1fa931735,Hotel,35.6415685555734,139.71532881259918
4b05879cf964a520549c22e3,6,230,4bf58dd8d48988d1fa931735,Hotel,35.66686735205888,139.7439479827881
4b05879cf964a520579c22e3,21,230,4bf58dd8d48988d1fa931735,Hotel,35.66624887711509,139.73124166410702
4b05879cf964a520589c22e3,12,230,4bf58dd8d48988d1fa931735,Hotel,35.674672658749124,139.7607218543504
4b05879cf964a5205b9c22e3,12,230,4bf58dd8d48988d1fa931735,Hotel,35.65963318141453,139.7284797911922
4b05879df964a520859c22e3,8,35,4bf58dd8d48988d116941735,Bar,35.71094618483877,139.79748018085957
4b05879ef964a520df9c22e3,23,18,4bf58dd8d48988d10c941735,French Restaurant,35.67180064238771,139.76146817207336
4b05879ef964a520f19c22e3,44,120,4bf58dd8d48988d16d941735,Café,35.70229499194192,139.76944676849948
4b05879ef964a520f29c22e3,12,197,4bf58dd8d48988d1e0931735,Coffee Shop,35.66016312329013,139.69747334718704
4b05879ef964a520f49c22e3,16,50,4bf58dd8d48988d11f941735,Bar,35.6584207815346,139.6949815750122
4b05879ff964a520099d22e3,14,35,4bf58dd8d48988d116941735,Bar,35.67818034664883,139.76476728916168
4b05879ff964a520189d22e3,13,50,4bf58dd8d48988d11f941735,Bar,35.64196963276697,139.82507944107056
4b05879ff964a520289d22e3,12,50,4bf58dd8d48988d11f941735,Bar,35.709988662063665,139.66780754713488
4b05879ff964a520349d22e3,9,35,4bf58dd8d48988d116941735,Bar,35.646347,139.66987
4b05879ff964a5203b9d22e3,15,209,4bf58dd8d48988d1e9931735,Music Venue,35.527808216876046,139.69728827476501
4b0587a0f964a5204b9d22e3,13,50,4bf58dd8d48988d11f941735,Bar,35.662015,139.73477
4b0587a0f964a520569d22e3,10,50,4bf58dd8d48988d11f941735,Bar,35.6470526757983,139.70242202281952
4b0587a0f964a5205c9d22e3,12,50,4bf58dd8d48988d11f941735,Bar,35.65900483528946,139.69533026218414
